id,filename,promoting,colour,process,year,designer,orientation
,GDA_Exhibitions_A1_1-0007.jpg,Exhibition,White,Offset,1963,,Portrait
,GDA_Exhibitions_A1_1-0008.jpg,Exhibition,Blue,Screenprint,1969,,Portrait
,GDA_Exhibitions_A1_1-0011.jpg,Exhibition,Green,Offset,1969,,Portrait
,GDA_Exhibitions_A1_1-0012.jpg,Exhibition,Red,Offset,1961,,Portrait
,GDA_Exhibitions_A1_1-0013.jpg,Exhibition,Red,Offset,,,Portrait
,GDA_Exhibitions_A1_1-0014.jpg,Exhibition,Blue,Screenprint,,,Portrait
,GDA_Exhibitions_A1_1-0015.jpg,Exhibition,Black,Screenprint,,,Portrait
,GDA_Exhibitions_A1_1-0016.jpg,Exhibition,White,Offset,1974,,Portrait
,GDA_Exhibitions_A1_1-0017.jpg,Exhibition,Yellow,,,,Portrait
,GDA_Exhibitions_A1_1-0018.jpg,Exhibition,Red,Offset,,,Landscape
,GDA_Exhibitions_A1_1-0019.jpg,Exhibition,White,Offset,,,Portrait
,GDA_Exhibitions_A1_1-0020.jpg,Exhibition,Blue,Screenprint,1963,,Portrait
,GDA_Exhibitions_A1_1-0021.jpg,Exhibition,Orange,Offset,1964,,Portrait
,GDA_Exhibitions_A1_1-0022.jpg,Exhibition,White,Screenprint,,,Portrait
,GDA_Exhibitions_A1_1-0023.jpg,Exhibition,White,Screenprint,1962,Barrie Bates,Landscape
,GDA_Exhibitions_A1_1-0024.jpg,Exhibition,Blue,Screenprint,1969,,Portrait
,GDA_Exhibitions_A1_1-0025.jpg,Exhibition,White,Screenprint,1980,,Portrait
,GDA_Exhibitions_A1_1-0027.jpg,Exhibition,Blue,Screenprint,1970,,Landscape
,GDA_Exhibitions_A1_1-0028.jpg,Exhibition,Multicoloured,Offset,1980,Martin mcGinn,Landscape
,GDA_Exhibitions_A1_1-0029.jpg,Exhibition,White,Offset,,,Portrait
,GDA_Exhibitions_A1_1-0030.jpg,Exhibition,White,Offset,1973,,Portrait
,GDA_Exhibitions_A1_1-0031.jpg,Exhibition,White,Offset,1970,,Portrait
,GDA_Exhibitions_A1_1-0032.jpg,Exhibition,White,Screenprint,1991,Neil Church,Portrait
,GDA_Exhibitions_A1_1-0033.jpg,Exhibition,White,Screenprint,,,Portrait
,GDA_Exhibitions_A1_1-0035.jpg,Exhibition,Multicoloured,Offset,,,Portrait
,GDA_Exhibitions_A1_1-0036.jpg,Exhibition,Yellow,Letterpress,1956,,Portrait
,GDA_Exhibitions_A1_1-0037.jpg,Exhibition,Blue,Offset,,,Portrait
,GDA_Exhibitions_A1_1-0038.jpg,Exhibition,Red,Screenprint,1986,Graham Elliott,Portrait
,GDA_Exhibitions_A1_1-0039.jpg,Exhibition,Blue,Offset,,,Portrait
,GDA_Exhibitions_A1_1-0040.jpg,Exhibition,Brown,Letterpress,,Mike Owner,Portrait
,GDA_Exhibitions_A1_1-0041.jpg,Exhibition,Blue,Screenprint,,,Portrait
,GDA_Exhibitions_A1_1-0042.jpg,Exhibition,Yellow,Screenprint,1948,MDC,Landscape
,GDA_Exhibitions_A1_1-0043.jpg,Exhibition,White,Letterpress,,,Landscape
,GDA_Exhibitions_A1_1-0044.jpg,Exhibition,Red,Letterpress,,Matt Stillman / Micheal Parry,Landscape
,GDA_Exhibitions_A1_1-0045.jpg,Exhibition,Green,Screenprint,,,Landscape
,GDA_Exhibitions_A1_1-0046.jpg,Exhibition,Green,Screenprint,,,Landscape
,GDA_Exhibitions_A1_1-0047.jpg,Exhibition,Blue,Offset,1989,,Portrait
,GDA_Exhibitions_A1_1-0048.jpg,Exhibition,Red,Offset,2007,,Portrait
