id,filename,title,promoting,colour,process,year,designer,
GDA_Exhibitions_A1_1-0049,GDA_Exhibitions_A1_1-0049.jpg,Waterloo 71,Exhibition,Red,Screenprint,1971,,
GDA_Exhibitions_A1_1-0052,GDA_Exhibitions_A1_1-0052.jpg,Exhibition',Exhibition,Multicoloured,Screenprint,,,
GDA_Exhibitions_A1_1-0054,GDA_Exhibitions_A1_1-0054.jpg,Berlin Impressions,Exhibition,Red,Screenprint,,,
GDA_Exhibitions_A1_1-0056,GDA_Exhibitions_A1_1-0056.jpg,School of Graphic Arts 2nd Year show,Exhibition,White,Offset,,,
GDA_Exhibitions_A1_1-0057,GDA_Exhibitions_A1_1-0057.jpg,Larger Than Life,Exhibition,Red,Screenprint,,,
GDA_Exhibitions_A1_1-0058,GDA_Exhibitions_A1_1-0058.jpg,IDE:10,Exhibition,White,Offset,1969,,
GDA_Exhibitions_A1_1-0059,GDA_Exhibitions_A1_1-0059.jpg,Work in Progress,Exhibition,White,Offset,,,
GDA_Exhibitions_A1_1-0060,GDA_Exhibitions_A1_1-0060.jpg,Work in Progress,Exhibition,Pink,Screenprint,1996,,
GDA_Exhibitions_A1_1-0061,GDA_Exhibitions_A1_1-0061.jpg,Oberon Book Illustration Awards,Exhibition,White,Offset,1981,,
GDA_Exhibitions_A1_1-0062,GDA_Exhibitions_A1_1-0062.jpg,Printmaking Degree Show,Exhibition,Blue,Offset,1984,,
GDA_Exhibitions_A1_1-0063,GDA_Exhibitions_A1_1-0063.jpg,Oberon Book Illustration Awards,Exhibition,Red,Offset,2004,Leonara Chan,
GDA_Exhibitions_A1_1-0064,GDA_Exhibitions_A1_1-0064.jpg,Work in Progress,Exhibition,Red,Offset,1983,,
GDA_Exhibitions_A1_1-0065,GDA_Exhibitions_A1_1-0065.jpg,Folio Society Illustration Awards,Exhibition,White,Offset,1983,,
GDA_Exhibitions_A1_1-0066,GDA_Exhibitions_A1_1-0066.jpg,Still there will be Stories,Exhibition,Yellow,Offset,1984,Carlo Targalike,
GDA_Exhibitions_A1_1-0067,GDA_Exhibitions_A1_1-0067.jpg,Oberon Book Illustration Awards,Exhibition,White,Offset,2008,,
GDA_Exhibitions_A1_1-0068,GDA_Exhibitions_A1_1-0068.jpg,Exhibition of Sculpture,Exhibition,Red,Screenprint,,,
GDA_Exhibitions_A1_1-0069,GDA_Exhibitions_A1_1-0069.jpg,Draw,Exhibition,White,Hand,2010,,
GDA_Exhibitions_A1_1-0070,GDA_Exhibitions_A1_1-0070.jpg,Draw,Exhibition,White,Hand,2010,,
GDA_Exhibitions_A1_1-0071,GDA_Exhibitions_A1_1-0071.jpg,Draw,Exhibition,White,Hand,2010,,
GDA_Exhibitions_A1_1-0072,GDA_Exhibitions_A1_1-0072.jpg,Draw,Exhibition,White,Hand,2010,,
GDA_Exhibitions_A1_1-0073,GDA_Exhibitions_A1_1-0073.jpg,Draw,Exhibition,White,Hand,2010,,
GDA_Exhibitions_A1_1-0074,GDA_Exhibitions_A1_1-0074.jpg,A Room of Our Own,Exhibition,Multicoloured,Offset,1958,Don Foster,
GDA_Exhibitions_A1_1-0075,GDA_Exhibitions_A1_1-0075.jpg,Work in Progress,Exhibition,Blue,Screenprint,,,
GDA_Exhibitions_A1_1-0076,GDA_Exhibitions_A1_1-0076.jpg,Courtaulds,Exhibition,Multicoloured,Offset,1969,,
GDA_Exhibitions_A1_1-0077,GDA_Exhibitions_A1_1-0077.jpg,Painting and Printmaking Degree Shows,Exhibition,Multicoloured,Offset,,,
GDA_Exhibitions_A1_1-0078,GDA_Exhibitions_A1_1-0078.jpg,Second Year Show,Exhibition,Multicoloured,Offset,1980,,
GDA_Exhibitions_A1_1-0079,GDA_Exhibitions_A1_1-0079.jpg,Association of Illustration Forum,Exhibition,Blue,Offset,,,
GDA_Exhibitions_A1_1-0080,GDA_Exhibitions_A1_1-0080.jpg,Degree Show,Exhibition,White,Offset,1983,,
GDA_Exhibitions_A1_1-0081,GDA_Exhibitions_A1_1-0081.jpg,Second Year Painting Show,Exhibition,White,Offset,1980,,
GDA_Exhibitions_A1_1-0082,GDA_Exhibitions_A1_1-0082.jpg,3 Painters exhibiting at RCA Galleries,Exhibition,Yellow,Offset,,,
GDA_Exhibitions_A1_1-0083,GDA_Exhibitions_A1_1-0083.jpg,15 Graphic Design & Art Direction,Exhibition,Yellow,Offset,,,
GDA_Exhibitions_A1_1-0084,GDA_Exhibitions_A1_1-0084.jpg,15 Graphic Design & Art Direction,Exhibition,Blue,Offset,,,
GDA_Exhibitions_A1_1-0085,GDA_Exhibitions_A1_1-0085.jpg,Work in Progress,Exhibition,White,Letterpress,,Matt Stillman / Micheal Parry,
GDA_Exhibitions_A1_1-0086,GDA_Exhibitions_A1_1-0086.jpg,2nd Year Painting ,Exhibition,White,Screenprint,1981,,
GDA_Exhibitions_A1_1-0088,GDA_Exhibitions_A1_1-0088.jpg,Catalogue of Disasters,Exhibition,White,Screenprint,1998,,
GDA_Exhibitions_A1_1-0089,GDA_Exhibitions_A1_1-0089.jpg,The Folio Society,Exhibition,Multicoloured,Offset,1988,Geoff Grandfield,
GDA_Exhibitions_A1_1-0092,GDA_Exhibitions_A1_1-0092.jpg,Summer Show,Exhibition,Pink,Offset,1999,Frank Phillipin,
GDA_Exhibitions_A1_1-0095,GDA_Exhibitions_A1_1-0095.jpg,Architectural Ceramics,Exhibition,Black,Screenprint,,John Watson,
GDA_Exhibitions_A1_1-0097,GDA_Exhibitions_A1_1-0097.jpg,School of Applied Art,Exhibition,White,Offset,,A&R,
GDA_Exhibitions_A1_1-0098,GDA_Exhibitions_A1_1-0098.jpg,Degree Show,Exhibition,White,Screenprint,1982,,
GDA_Exhibitions_A1_1-0099,GDA_Exhibitions_A1_1-0099.jpg,The Environmental Media Dept.,Exhibition,White,Screenprint,,Brian Padden,
GDA_Exhibitions_A1_1-0100,GDA_Exhibitions_A1_1-0100.jpg,Work in Progress,Exhibition,Multicoloured,Hand,2001,,
GDA_Exhibitions_A1_1-0101,GDA_Exhibitions_A1_1-0101.jpg,Sculpture Degree Show,Exhibition,Image,Offset,,,
GDA_Exhibitions_A1_1-0102,GDA_Exhibitions_A1_1-0102.jpg,"Sladw, Royal Academy",Exhibition,Red,Offset,,,
GDA_Exhibitions_A1_1-0103,GDA_Exhibitions_A1_1-0103.jpg,Printmaking Degree Show,Exhibition,Image,Offset,1980,,
GDA_Exhibitions_A1_1-0104,GDA_Exhibitions_A1_1-0104.jpg,School of Sculpture Degree Show,Exhibition,Blue,Offset,,,
GDA_Exhibitions_A1_1-0106,GDA_Exhibitions_A1_1-0106.jpg,Degree Show,Exhibition,Black,Offset,1981,,
GDA_Exhibitions_A1_1-0107,GDA_Exhibitions_A1_1-0107.jpg,Sculpture Works,Exhibition,Black,Hand,1984,,
GDA_Exhibitions_A1_1-0109,GDA_Exhibitions_A1_1-0109.jpg,New Designs in Man-made Fibres,Exhibition,Pink,Screenprint,,,
GDA_Exhibitions_A1_1-0110,GDA_Exhibitions_A1_1-0110.jpg,New Designs in Man-made Fibres,Exhibition,Yellow,Screenprint,,,
GDA_Exhibitions_A1_1-0111,GDA_Exhibitions_A1_1-0111.jpg,Red Faces in the Blue Room,Exhibition,Pink,Screenprint,,,
GDA_Exhibitions_A1_1-0113,GDA_Exhibitions_A1_1-0113.jpg,Degree Exhibition,Exhibition,Red,Screenprint,1969,,
GDA_Exhibitions_A1_1-0114,GDA_Exhibitions_A1_1-0114.jpg,Folio Society Illustration Awards,Exhibition,Yellow,Offset,1986,,
GDA_Exhibitions_A1_1-0115,GDA_Exhibitions_A1_1-0115.jpg,Oberon Book Illustration Awards,Exhibition,Image,Digital,2006,,
GDA_Exhibitions_A1_1-0116,GDA_Exhibitions_A1_1-0116.jpg,School of Film and Television Degree Show,Exhibition,Black,Screenprint,1977,,
GDA_Exhibitions_A1_1-0117,GDA_Exhibitions_A1_1-0117.jpg,Surface to Surface,Exhibition,Red,Screenprint,1970,,
GDA_Exhibitions_A1_1-0118,GDA_Exhibitions_A1_1-0118.jpg,Pictures and Print,Exhibition,Black,Offset,,,
GDA_Exhibitions_A1_1-0119,GDA_Exhibitions_A1_1-0119.jpg,Art Films 1976-77,Exhibition,Black,Offset,1976,,
GDA_Exhibitions_A1_1-0120,GDA_Exhibitions_A1_1-0120.jpg,New Contemporaries,Exhibition,Blue,Screenprint,1978,,
GDA_Exhibitions_A1_1-0121,GDA_Exhibitions_A1_1-0121.jpg,Painting Degree Show,Exhibition,Black,Offset,1984,,
GDA_Exhibitions_A1_1-0122,GDA_Exhibitions_A1_1-0122.jpg,A View of Henry Moore,Exhibition,Green,Offset,1968,,
GDA_Exhibitions_A1_1-0123,GDA_Exhibitions_A1_1-0123.jpg,Young Contemporaries,Exhibition,Orange,Offset,1966,,
GDA_Exhibitions_A1_1-0124,GDA_Exhibitions_A1_1-0124.jpg,First Special Showing,Exhibition,Black,Screenprint,,,
GDA_Exhibitions_A1_1-0125,GDA_Exhibitions_A1_1-0125.jpg,Hall-mark ,Exhibition,Blue,Screenprint,1966,,
GDA_Exhibitions_A1_2-0002,GDA_Exhibitions_A1_2-0002.jpg,Painting and Printmaking Degree Shows,Exhibition,Yellow,Offset,1985,,
GDA_Exhibitions_A1_2-0003,GDA_Exhibitions_A1_2-0003.jpg,Cyril Reason,Exhibition,Brown,Screenprint,1966,,
GDA_Exhibitions_A1_2-0004,GDA_Exhibitions_A1_2-0004.jpg,Printmaking Degree Show,Exhibition,Image,Offset,1982,,
GDA_Exhibitions_A1_2-0006,GDA_Exhibitions_A1_2-0006.jpg,Paintings by Peter Millband,Exhibition,Blue,Offset,,,
GDA_Exhibitions_A1_2-0007,GDA_Exhibitions_A1_2-0007.jpg,The Folio Society,Exhibition,Red,Offset,1986,,
GDA_Exhibitions_A1_2-0009,GDA_Exhibitions_A1_2-0009.jpg,La Boule,Exhibition,Blue,Screenprint,1986,,
GDA_Exhibitions_A1_2-0010,GDA_Exhibitions_A1_2-0010.jpg,Department of Photography Degree Show,Exhibition,White,Offset,1985,,
